#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-15T13:47:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee0d9a0ceb	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=gliese&HTTPPRM:&&-ref=VIZ53ee0d9a0ceb&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F7.3)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F7.3)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000|_DEJ2000|Name|RAB1950|DEB1950|Sp|Vmag|B-V|trplx|plx|_RA.icrs|_DE.icrs
deg|deg| |"h:m:s"|"d:m:s"| |mag|mag|mas|mas|"h:m:s"|"d:m:s"
-------|-------|--------|--------|--------|------------|------|-----|------|------|--------|--------
        |        |Sun     |        |        |G2 V        |-26.72| 0.65|      |      |00 02 33.8|+00 16 42
000.6671|-34.2269|NN 3001 |00 00 06|-34 29.7|DC9         | 14.90| 0.46|  75.2|  75.2|00 02 40.1|-34 13 37
001.1708|-40.7052|GJ 1001 |00 02 05|-40 57.8|M3.5        | 12.84| 1.63| 104.2| 104.2|00 04 41.0|-40 42 19
001.2234|+34.6596|NN 3002 |00 02 16|+34 22.8|G2 V        |  6.11| 0.62|  29.8|  49.0|00 04 53.6|+34 39 34
001.2358|+23.2698|NN 3003 |00 02 21|+22 59.5|G9 V        |  7.82| 0.74|      |  39.0|00 04 56.6|+23 16 11
001.3523|-37.3573|Gl 1    |00 02 28|-37 36.2|M4 V        |  8.54| 1.46| 221.8| 221.8|00 05 24.6|-37 21 26
001.2963|+45.7860|Gl 2    |00 02 32|+45 30.6|dM2  e      |  9.93| 1.49|  87.0|  87.0|00 05 11.1|+45 47 10
001.3252|+48.4783|NN 3004 |00 02 43|+48 12.0|G5          |  8.30|     |      |  51.0|00 05 18.1|+48 28 42
001.3246|-67.8329|Gl 3    |00 02 48|-68 06.2|K5 V        |  8.48| 1.06|  72.5|  53.0|00 05 17.9|-67 49 58
001.3561|-50.0547|NN 3005 |00 02 54|-50 20.0|M5          | 11.95| 1.50|      |  47.0|00 05 25.5|-50 03 17
001.4208|+45.8125|Gl 4    |00 03 02|+45 32.2|dK6  e      |  8.97| 1.44|  87.0|  87.0|00 05 41.0|+45 48 45
001.4219|+45.8115|Gl 4    |00 03 02|+45 32.1|M0.5 V      |  9.02| 1.45|  87.0|  87.0|00 05 41.3|+45 48 41
001.5655|+58.4374|Gl 4.1  |00 03 38|+58 09.5|G5 V        |  6.43| 0.64|  46.5|  46.5|00 06 15.7|+58 26 15
001.5655|+58.4374|Gl 4.1  |00 03 38|+58 09.5|dG8         |  7.20| 0.78|  46.5|  46.5|00 06 15.7|+58 26 15
001.5507|-65.8544|NN 3006 |00 03 40|-66 07.5|M4          | 12.16| 1.55|      |  55.0|00 06 12.2|-65 51 16
001.5795|-49.0755|Gl 4.2  |00 03 44|-49 21.2|G1 IV       |  5.71| 0.52|  48.3|  48.3|00 06 19.1|-49 04 32
001.5795|-49.0755|Gl 4.2  |00 03 44|-49 21.2|            | 11.50|     |  48.3|  48.3|00 06 19.1|-49 04 32
001.6546|+29.0208|Gl 5    |00 04 01|+28 44.7|K0 Ve       |  6.14| 0.75|  70.2|  70.2|00 06 37.1|+29 01 15
001.6825| -7.5394|GJ 1002 |00 04 13|-07 47.5|M5-5.5      | 13.75| 1.98| 212.8| 212.8|00 06 43.8|-07 32 22
001.8604|+29.2423|GJ 1003 |00 04 46|+28 58.8|m           | 14.18| 1.49|  53.5|  53.5|00 07 26.5|+29 14 32
001.8842|-23.8190|Wo 9003 |00 04 58|-24 05.9|K0 V        |  8.70| 0.80|  39.2|  26.0|00 07 32.2|-23 49 08
001.9950| +8.0060|NN 3007 |00 05 26|+07 44.0|M3.5        | 13.07| 1.52|  44.0|  44.0|00 07 58.8|+08 00 21
002.1130|+17.4241|NN 3008 |00 05 53|+17 08.8|dM0         | 10.79| 1.47|      |  47.0|00 08 27.1|+17 25 27
002.0929|-57.0889|NN 3009 |00 05 54|-57 22.0|M4          | 12.07| 1.54|      |  74.0|00 08 22.3|-57 05 20
002.1704|+36.6264|Gl 6    |00 06 06|+36 21.0|F8 IV       |  6.21| 0.49|  46.2|  46.2|00 08 40.9|+36 37 35
002.2267|+20.8399|NN 3010 |00 06 20|+20 33.9|m           | 13.54|     |      |  94.0|00 08 54.4|+20 50 24
002.2673|-27.1224|Gl 7    |00 06 29|-27 24.1|m           | 11.72| 1.50|  56.3|  29.0|00 09 04.2|-27 07 21
002.2957|+59.1490|Gl 8    |00 06 30|+58 52.4|F2 III-IV   |  2.27| 0.34|  69.2|  69.2|00 09 11.0|+59 08 56
002.3538|-45.7475|Gl 9.1  |00 06 53|-46 01.4|K0 III      |  3.88| 1.03|  64.5|  64.5|00 09 24.9|-45 44 51
002.7722| -5.7834|NN 3011 |00 08 31|-06 03.7|dM2         | 10.86| 1.47|      |  43.0|00 11 05.3|-05 47 00
002.8416|+58.3529|NN 3012 |00 08 42|+58 04.5|K7          |  9.48| 1.22|      |  46.0|00 11 22.0|+58 21 10
002.8153|-15.4672|Gl 10   |00 08 43|-15 44.5|F7 V        |  4.89| 0.49|  65.8|  62.0|00 11 15.7|-15 28 02
002.8902|-58.9102|Gl 10.1 |00 09 03|-59 11.3|G4 V        |  8.35| 0.62|  49.6|  20.0|00 11 33.6|-58 54 37
002.9346|-35.1335|NN 3013 |00 09 12|-35 24.8|F4 V        |  5.25| 0.44|  32.2|  44.0|00 11 44.3|-35 08 01
003.0642|+50.4232|GJ 1004 |00 09 40|+50 09.2|DA8         | 14.36| 0.42|  90.7|  90.7|00 12 15.4|+50 25 24
003.3145|+69.3269|Gl 11   |00 10 26|+69 03.2|dM4   J     | 13.06| 1.60|  49.6|  49.6|00 13 15.5|+69 19 37
003.3145|+69.3269|Gl 11   |00 10 26|+69 03.2|            | 13.40|     |  49.6|  49.6|00 13 15.5|+69 19 37
003.4165|+80.6668|NN 3014 |00 10 40|+80 23.2|M1.5        | 11.12| 1.50|      |  61.0|00 13 40.0|+80 40 01
003.4508|+80.6651|NN 3015 |00 10 48|+80 23.1|m           | 17.40|     |      |  61.0|00 13 48.2|+80 39 54
003.5540|-13.1837|NN 3016 |00 11 42|-13 27.1|DC8         | 15.90| 0.58|  50.8|  50.8|00 14 13.0|-13 11 01
003.8656|-16.1354|GJ 1005 |00 12 53|-16 24.3|M4          | 12.03| 1.72| 188.7| 188.7|00 15 27.7|-16 08 08
003.9072|-29.7684|NN 3017 |00 13 06|-30 02.7|dM3.4       | 14.31| 1.57|      |  56.0|00 15 37.7|-29 46 06
003.9537|+13.5555|Gl 12   |00 13 12|+13 16.4|dM3.5       | 12.58| 1.66|  86.3|  86.3|00 15 48.9|+13 33 20
003.9774|-67.9976|NN 3018 |00 13 26|-68 16.4|m           | 10.95|     |      |  50.0|00 15 54.6|-67 59 51
003.9404|-67.9909|NN 3019 |00 13 17|-68 16.0|m           | 12.50|     |      |  50.0|00 15 45.7|-67 59 27
004.0065|-48.2603|NN 3020 |00 13 33|-48 32.1|M5          | 11.54| 1.46|      |  64.0|00 16 01.6|-48 15 37
004.0575|+19.8604|GJ 1006 |00 13 36|+19 35.6|M4          | 12.27| 1.50|  65.5|  65.5|00 16 13.8|+19 51 38
004.0659|+19.8638|GJ 1006 |00 13 38|+19 35.8|M4.5        | 13.22| 1.60|  65.5|  65.5|00 16 15.8|+19 51 50
004.0905|+15.9215|Wo 9006 |00 13 46|+15 38.5|m           | 14.80|     |  43.3|  43.3|00 16 21.7|+15 55 17
004.0567|-79.8515|NN 3021 |00 13 56|-80 07.7|G6 V        |  6.60|     |      |  52.0|00 16 13.6|-79 51 05
004.2387|+20.0647|NN 3022 |00 14 21|+19 47.2|m           | 13.77|     |      |  45.0|00 16 57.3|+20 03 53
004.2333| +5.1239|GJ 1007 |00 14 22|+04 51.3|m           | 13.79| 1.62|  56.6|  56.6|00 16 56.0|+05 07 26
004.2230|-52.6515|Gl 13   |00 14 24|-52 55.9|G2 V        |  6.84| 0.64|  67.4|  67.4|00 16 53.5|-52 39 05
004.2757|+40.9490|Gl 14   |00 14 26|+40 40.2|dM0.5       |  9.00| 1.36|  71.0|  71.0|00 17 06.2|+40 56 56
004.3329|+29.1835|NN 3023 |00 14 41|+28 54.0|M2          | 11.55|     |  31.5|  51.0|00 17 19.9|+29 11 01
004.3679| -8.7406|NN 3024 |00 14 54|-09 01.0|M0          | 12.49| 1.57|  46.6|  46.6|00 17 28.3|-08 44 26
004.4206| -8.6838|NN 3025 |00 15 07|-08 57.7|dM0         | 11.00| 1.42|  36.6|  36.6|00 17 40.9|-08 41 02
004.4789|-17.9113|NN 3026 |00 15 22|-18 11.4|m           | 13.20| 1.58|      |  39.0|00 17 54.9|-17 54 41
004.4958|-13.4556|Wo 9008 |00 15 25|-13 44.0|G2 V        |  6.50| 0.59|  32.0|  42.0|00 17 59.0|-13 27 20
004.5952|+44.0233|Gl 15   |00 15 31|+43 44.4|M2 V        |  8.08| 1.56| 289.5| 289.5|00 18 22.8|+44 01 24
004.5952|+44.0233|Gl 15   |00 15 31|+43 44.4|M6 Ve       | 11.06| 1.79| 289.5| 289.5|00 18 22.8|+44 01 24
004.5694|+10.2023|Gl 16   |00 15 42|+09 55.5|dM0         | 10.90| 1.50|  35.9|  35.9|00 18 16.6|+10 12 08
004.6727| -8.0527|Gl 16.1 |00 16 07|-08 19.7|G5 IV-V     |  6.46| 0.68|  51.4|  51.4|00 18 41.5|-08 03 10
004.7247|+27.8144|NN 3027 |00 16 16|+27 32.3|m           | 13.86|     |      |  52.0|00 18 53.9|+27 48 52
004.7730| -9.9644|GJ 1008 |00 16 33|-10 14.3|K7 V        |  9.94| 1.33|      |  46.0|00 19 05.5|-09 57 52
005.0190|-64.8746|Gl 17   |00 17 29|-65 10.1|F9 V        |  4.22| 0.58| 139.0| 139.0|00 20 04.5|-64 52 29
005.0360|-17.0598|GJ 2003 |00 17 36|-17 20.3|M1          | 11.69| 1.55|      |  41.0|00 20 08.6|-17 03 35
005.1232|+33.0870|NN 3028 |00 17 48|+32 49.3|M6          | 16.05| 1.98|  79.9|  79.9|00 20 29.6|+33 05 13
005.3338|-45.7452|Gl 17.1 |00 18 52|-46 00.7|M1          | 10.40| 1.48|  49.7|  49.7|00 21 20.1|-45 44 43
005.4215|-46.0847|NN 3029 |00 19 15|-46 21.4|M3:         | 12.29| 1.46|      |  59.0|00 21 41.2|-46 05 05
005.4908|+49.2101|NN 3030 |00 19 16|+48 56.0|m           | 12.84|     |      |  45.0|00 21 57.8|+49 12 36
005.4884|-31.4078|GJ 1009 |00 19 27|-31 41.0|dM2         | 11.16| 1.48|      |  69.0|00 21 57.2|-31 24 28
005.5648|+42.6117|NN 3031 |00 19 37|+42 20.3|DC9         | 16.50| 0.72|      |  42.0|00 22 15.6|+42 36 42
005.5980|-27.0335|Gl 17.2 |00 19 52|-27 18.3|K3 V        |  8.30| 0.90|  47.6|  39.0|00 22 23.5|-27 02 01
005.7155|-12.2086|Gl 17.3 |00 20 18|-12 29.2|G2 V        |  6.38| 0.66|  48.6|  53.0|00 22 51.7|-12 12 31
005.8786|+77.1892|GJ 1010 |00 20 41|+76 54.7|k-m         | 11.30| 1.49|  63.7|  63.7|00 23 30.9|+77 11 21
005.8871|+77.1909|GJ 1010 |00 20 43|+76 54.8|m           | 14.00|     |  63.7|  63.7|00 23 32.9|+77 11 27
005.8137|-33.1677|GJ 2004 |00 20 46|-33 26.8|K3/4 V      |  8.75| 1.07|      |  43.0|00 23 15.3|-33 10 04
005.8282|-50.8947|NN 3032 |00 20 50|-51 10.3|M4          | 11.88| 1.48|  15.1|  55.0|00 23 18.8|-50 53 41
005.8660|+24.3037|GJ 1011 |00 20 52|+24 01.5|k-m         | 14.27| 1.59|  61.1|  61.1|00 23 27.8|+24 18 13
006.1076|-27.0268|Gl 18   |00 21 53|-27 18.3|K3 V        |  7.92| 0.95|  81.2|  52.0|00 24 25.8|-27 01 36
006.1458|+30.0402|NN 3033 |00 21 55|+29 45.8|m           | 14.54| 1.67|  53.0|  53.0|00 24 35.0|+30 02 25
006.1752|-27.1479|GJ 2005 |00 22 12|-27 26.0|M5.5        | 15.42|     | 132.8| 132.8|00 24 42.0|-27 08 52
006.3372|+22.8869|NN 3034 |00 22 45|+22 37.0|m           | 14.30|     |      |  53.0|00 25 20.9|+22 53 13
006.4374|-77.2536|Gl 19   |00 23 09|-77 32.1|G2 IV       |  2.80| 0.62| 155.4| 155.4|00 25 45.0|-77 15 13
006.5512|-43.6794|Gl 20   |00 23 45|-43 57.4|A7 Vn       |  3.94| 0.17|  71.2|  71.2|00 26 12.3|-43 40 46
006.7196|+70.1424|Gl 21   |00 24 00|+69 52.1|dM0         | 10.52| 1.49|  54.4|  54.4|00 26 52.7|+70 08 33
