#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
 |"h:m:s"|"d:m:s"|arcsec/yr|deg|km/s| |mag|mag|mas|mas|mag| | |"h:m:s"|"d:m:s"
--------|--------|--------|------|-----|------|------------|------|-----|------|------|-----|-----|---------------------------------------------------------------------|--------|--------
Sun     |        |        |      |     |      |G2 V        |-26.72| 0.65|      |      | 4.85|     |Sun                                                                  |00 02 33.8|+00 16 42
NN 3001 |00 00 06|-34 29.7| 0.758|168.6|      |DC9         | 14.90| 0.46|  75.2|  75.2|14.28|W406 |LTT 3                                                                |00 02 40.1|-34 13 37
GJ 1001 |00 02 05|-40 57.8| 1.618|154.5|  -3.0|M3.5        | 12.84| 1.63| 104.2| 104.2|12.93|     |LTT 20                                                               |00 04 41.0|-40 42 19
NN 3002 |00 02 16|+34 22.8| 0.776| 83.0|   6.4|G2 V        |  6.11| 0.62|  29.8|  49.0| 4.56|     |LTT 10009 LFT 4                                                      |00 04 53.6|+34 39 34
NN 3003 |00 02 21|+22 59.5| 0.380| 91.5|      |G9 V        |  7.82| 0.74|      |  39.0| 5.78|     |LTT 10010                                                            |00 04 56.6|+23 16 11
Gl 1    |00 02 28|-37 36.2| 6.097|112.5|  22.9|M4 V        |  8.54| 1.46| 221.8| 221.8|10.27|     |                                                                     |00 05 24.6|-37 21 26
Gl 2    |00 02 32|+45 30.6| 0.894|100.5|   0.1|dM2  e      |  9.93| 1.49|  87.0|  87.0| 9.63|V216 |                                                                     |00 05 11.1|+45 47 10
NN 3004 |00 02 43|+48 12.0| 0.009|305.5|      |G5          |  8.30|     |      |  51.0| 6.84|     |                                                                     |00 05 18.1|+48 28 42
Gl 3    |00 02 48|-68 06.2| 0.582|190.7|  41.0|K5 V        |  8.48| 1.06|  72.5|  53.0| 7.10|U001 |                                                                     |00 05 17.9|-67 49 58
NN 3005 |00 02 54|-50 20.0| 0.167|276.0|      |M5          | 11.95| 1.50|      |  47.0|10.31|     |BPM 16002 SM 152   R-I = 1.23 Weistrop                               |00 05 25.5|-50 03 17
Gl 4    |00 03 02|+45 32.2| 0.839|101.8|   0.0|dK6  e      |  8.97| 1.44|  87.0|  87.0| 8.67|V217 |ADS 48AB  d(m) = 0.09                                                |00 05 41.0|+45 48 45
Gl 4    |00 03 02|+45 32.1| 0.885| 98.3|   0.1|M0.5 V      |  9.02| 1.45|  87.0|  87.0| 8.72|     |a = 6.179" P = 362.3 yr or a = 11.698" P = 1506.68 yr                |00 05 41.3|+45 48 41
Gl 4.1  |00 03 38|+58 09.5| 0.260| 76.7| -11.6|G5 V        |  6.43| 0.64|  46.5|  46.5| 4.77|     |ADS 61AB  V(AB) = 5.99 d(m) = 0.83                                   |00 06 15.7|+58 26 15
Gl 4.1  |00 03 38|+58 09.5| 0.260| 76.7| -16.0|dG8         |  7.20| 0.78|  46.5|  46.5| 5.54|     |a = 1.432" P = 106.83 yr                                             |00 06 15.7|+58 26 15
NN 3006 |00 03 40|-66 07.5| 0.593|160.6|      |M4          | 12.16| 1.55|      |  55.0|10.86|     |LFT 12 LTT 38 L 86-21 Sm 153                                         |00 06 12.2|-65 51 16
Gl 4.2  |00 03 44|-49 21.2| 0.592| 93.9|   2.6|G1 IV       |  5.71| 0.52|  48.3|  48.3| 4.13|     |                                                                     |00 06 19.1|-49 04 32
Gl 4.2  |00 03 44|-49 21.2| 0.592| 93.9|      |            | 11.50|     |  48.3|  48.3| 9.90|     |sep 5.4" 176d                                                        |00 06 19.1|-49 04 32
Gl 5    |00 04 01|+28 44.7| 0.422|114.1|  -5.5|K0 Ve       |  6.14| 0.75|  70.2|  70.2| 5.37|     |                                                                     |00 06 37.1|+29 01 15
GJ 1002 |00 04 13|-07 47.5| 2.041|203.6| -42.0|M5-5.5      | 13.75| 1.98| 212.8| 212.8|15.39|     |                                                                     |00 06 43.8|-07 32 22
GJ 1003 |00 04 46|+28 58.8| 1.890|127.2|      |m           | 14.18| 1.49|  53.5|  53.5|12.82|     |                                                                     |00 07 26.5|+29 14 32
Wo 9003 |00 04 58|-24 05.9| 0.348| 77.5| -46.0|K0 V        |  8.70| 0.80|  39.2|  26.0| 5.77|     |LTT 47                                                               |00 07 32.2|-23 49 08
NN 3007 |00 05 26|+07 44.0| 0.546|222.4|      |M3.5        | 13.07| 1.52|  44.0|  44.0|11.29|     |LTT 10037 LP 524-65 L 1082-25                                        |00 07 58.8|+08 00 21
NN 3008 |00 05 53|+17 08.8| 0.105|238.3|      |dM0         | 10.79| 1.47|      |  47.0| 9.15|V351 |                                                                     |00 08 27.1|+17 25 27
NN 3009 |00 05 54|-57 22.0| 0.368|264.0|      |M4          | 12.07| 1.54|      |  74.0|11.42|     |LTT 57 BPM 16015 L 217-28 Sm 154  R-I = 1.44 Weistrop                |00 08 22.3|-57 05 20
Gl 6    |00 06 06|+36 21.0| 0.167|222.2| -15.2|F8 IV       |  6.21| 0.49|  46.2|  46.2| 4.53|     |                                                                     |00 08 40.9|+36 37 35
NN 3010 |00 06 20|+20 33.9| 0.244|194.0|      |m           | 13.54|     |      |  94.0|13.41|     |LTT 10045                                                            |00 08 54.4|+20 50 24
Gl 7    |00 06 29|-27 24.1| 0.683| 83.7|      |m           | 11.72| 1.50|  56.3|  29.0| 9.03|     |                                                                     |00 09 04.2|-27 07 21
Gl 8    |00 06 30|+58 52.4| 0.553|108.4|  11.3|F2 III-IV   |  2.27| 0.34|  69.2|  69.2| 1.47|     |BET Cas                                                              |00 09 11.0|+59 08 56
Gl 9.1  |00 06 53|-46 01.4| 0.214|145.0|  -9.2|K0 III      |  3.88| 1.03|  64.5|  64.5| 2.90|     |EPS Phe                                                              |00 09 24.9|-45 44 51
NN 3011 |00 08 31|-06 03.7| 0.252| 88.0|  -5.2|dM2         | 10.86| 1.47|      |  43.0| 9.03|V353 |LTT 74                                                               |00 11 05.3|-05 47 00
NN 3012 |00 08 42|+58 04.5| 0.235| 92.0|      |K7          |  9.48| 1.22|      |  46.0| 7.79|     |LTT 10057                                                            |00 11 22.0|+58 21 10
Gl 10   |00 08 43|-15 44.5| 0.279|197.5|  14.6|F7 V        |  4.89| 0.49|  65.8|  62.0| 3.85|     |Viln 82 no 157                                                       |00 11 15.7|-15 28 02
Gl 10.1 |00 09 03|-59 11.3| 0.290| 90.2|  -4.6|G4 V        |  8.35| 0.62|  49.6|  20.0| 4.86|     |                                                                     |00 11 33.6|-58 54 37
NN 3013 |00 09 12|-35 24.8| 0.211| 54.2| -13.5|F4 V        |  5.25| 0.44|  32.2|  44.0| 3.47|     |LTT 79                                                               |00 11 44.3|-35 08 01
GJ 1004 |00 09 40|+50 09.2| 0.718|216.0|      |DA8         | 14.36| 0.42|  90.7|  90.7|14.15|W381 |                                                                     |00 12 15.4|+50 25 24
Gl 11   |00 10 26|+69 03.2| 0.772|113.9|      |dM4   J     | 13.06| 1.60|  49.6|  49.6|11.54|     |LTT 10070 LP 50-30  ppm(LHS), V(AB) = 12.49 d(m) = 0.4               |00 13 15.5|+69 19 37
Gl 11   |00 10 26|+69 03.2| 0.772|113.9|      |            | 13.40|     |  49.6|  49.6|11.90|     |sep 0.7" 319d (NLTT)                                                 |00 13 15.5|+69 19 37
NN 3014 |00 10 40|+80 23.2| 0.294| 56.0|      |M1.5        | 11.12| 1.50|      |  61.0|10.05|V354 |LTT 17095 AC+80:7                                                    |00 13 40.0|+80 40 01
NN 3015 |00 10 48|+80 23.1| 0.294| 56.0|      |m           | 17.40|     |      |  61.0|16.30|V354B|LP 12-304    sep 12.5" 127d (NLTT) d(R) = 4.2, d(pg) = 4.3           |00 13 48.2|+80 39 54
NN 3016 |00 11 42|-13 27.1| 0.911|217.7|      |DC8         | 15.90| 0.58|  50.8|  50.8|14.43|W    |LP 704-001                                                           |00 14 13.0|-13 11 01
GJ 1005 |00 12 53|-16 24.3| 0.863|133.6| -29.0|M4          | 12.03| 1.72| 188.7| 188.7|13.41|     |L 722-22 Hei 299  sep 0.14" V(AB) = 11.50 d(m) = 0.5 :               |00 15 27.7|-16 08 08
NN 3017 |00 13 06|-30 02.7| 0.130|135.0|      |dM3.4       | 14.31| 1.57|      |  56.0|13.05|     |GR 4                                                                 |00 15 37.7|-29 46 06
Gl 12   |00 13 12|+13 16.4| 0.695| 62.7|      |dM3.5       | 12.58| 1.66|  86.3|  86.3|12.26|     |LP 462-42 L 1154-029                                                 |00 15 48.9|+13 33 20
NN 3018 |00 13 26|-68 16.4| 0.628|103.8|      |m           | 10.95|     |      |  50.0| 9.44|     |LFT 24 LTT 118 L 86-66                                               |00 15 54.6|-67 59 51
NN 3019 |00 13 17|-68 16.0| 0.628|103.8|      |m           | 12.50|     |      |  50.0|11.00|     |LFT 25 LTT 119 L 86-67  sep 48" 288d                                 |00 15 45.7|-67 59 27
NN 3020 |00 13 33|-48 32.1| 0.238|198.0|      |M5          | 11.54| 1.46|      |  64.0|10.57|     |LTT 123 L 290-72 BPM 30080 CFS 56 Sm 156                             |00 16 01.6|-48 15 37
GJ 1006 |00 13 36|+19 35.6| 1.037|137.5|      |M4          | 12.27| 1.50|  65.5|  65.5|11.35|     |LP 404-61 L 1226-9                                                   |00 16 13.8|+19 51 38
GJ 1006 |00 13 38|+19 35.8| 1.037|137.5|      |M4.5        | 13.22| 1.60|  65.5|  65.5|12.30|     |LP 404-62 L 1226-8                                                   |00 16 15.8|+19 51 50
Wo 9006 |00 13 46|+15 38.5| 0.257| 54.0|      |m           | 14.80|     |  43.3|  43.3|13.00|     |LTT 10091 MW 412-30                                                  |00 16 21.7|+15 55 17
NN 3021 |00 13 56|-80 07.7| 0.460| 99.0|      |G6 V        |  6.60|     |      |  52.0| 5.20|     |LTT 127 CD-80:9                                                      |00 16 13.6|-79 51 05
NN 3022 |00 14 21|+19 47.2| 0.244| 84.0|      |m           | 13.77|     |      |  45.0|12.04|     |LTT 10097 L 1226-7 LP 404-66                                         |00 16 57.3|+20 03 53
GJ 1007 |00 14 22|+04 51.3| 0.635|185.0|      |m           | 13.79| 1.62|  56.6|  56.6|12.55|     |LTT 10099                                                            |00 16 56.0|+05 07 26
Gl 13   |00 14 24|-52 55.9| 0.361| 61.0| -14.3|G2 V        |  6.84| 0.64|  67.4|  67.4| 5.98|     |                                                                     |00 16 53.5|-52 39 05
Gl 14   |00 14 26|+40 40.2| 0.562| 79.7|   3.0|dM0.5       |  9.00| 1.36|  71.0|  71.0| 8.26|V084 |                                                                     |00 17 06.2|+40 56 56
NN 3023 |00 14 41|+28 54.0| 0.791| 57.5|      |M2          | 11.55|     |  31.5|  51.0|10.09|     |LTT 10100 LFT 29 Ross 680                                            |00 17 19.9|+29 11 01
NN 3024 |00 14 54|-09 01.0| 0.388|107.0|      |M0          | 12.49| 1.57|  46.6|  46.6|10.83|     |LTT 137 L 866-24 LP 704-74                                           |00 17 28.3|-08 44 26
NN 3025 |00 15 07|-08 57.7| 0.270| 86.0|      |dM0         | 11.00| 1.42|  36.6|  36.6| 8.82|V355 |LTT 141 L 866-22                                                     |00 17 40.9|-08 41 02
